Date,Ticker,Close,Volume,Fraud_Label
2024-01-01,FAKECO,100.54,8860,0
2024-01-02,FAKECO,99.93,14265,0
2024-01-03,FAKECO,97.92,12426,0
2024-01-04,FAKECO,87.42,80769,1
2024-01-05,FAKECO,87.45,13611,0
2024-01-06,FAKECO,87.02,10047,0
2024-01-07,FAKECO,86.77,8975,0
2024-01-08,FAKECO,86.6,9899,0
2024-01-09,FAKECO,87.74,14975,0
2024-01-10,FAKECO,87.63,10888,0
2024-01-11,FAKECO,87.73,10435,0
2024-01-12,FAKECO,88.39,10612,0
2024-01-13,FAKECO,87.37,14235,0
2024-01-14,FAKECO,87.21,12014,0
2024-01-15,FAKECO,88.03,11152,0
2024-01-16,FAKECO,86.81,11461,0
2024-01-17,FAKECO,87.03,11843,0
2024-01-18,FAKECO,87.91,12551,0
2024-01-19,FAKECO,87.8,9275,0
2024-01-20,FAKECO,87.5,8337,0
2024-01-21,FAKECO,86.15,12887,0
2024-01-22,FAKECO,85.27,13276,0
2024-01-23,FAKECO,85.22,8064,0
2024-01-24,FAKECO,94.95,85258,1
2024-01-25,FAKECO,95.88,14736,0
2024-01-26,FAKECO,96.56,11561,0
2024-01-27,FAKECO,95.66,14184,0
2024-01-28,FAKECO,95.55,11645,0
2024-01-29,FAKECO,93.98,14242,0
2024-01-30,FAKECO,94.61,14756,0
2024-01-31,FAKECO,94.97,10690,0
2024-02-01,FAKECO,106.51,80206,1
2024-02-02,FAKECO,106.6,13977,0
2024-02-03,FAKECO,106.3,12191,0
2024-02-04,FAKECO,105.77,14628,0
2024-02-05,FAKECO,104.27,9059,0
2024-02-06,FAKECO,104.98,9722,0
2024-02-07,FAKECO,105.34,9597,0
2024-02-08,FAKECO,103.85,10693,0
2024-02-09,FAKECO,103.63,9981,0
2024-02-10,FAKECO,103.3,9529,0
2024-02-11,FAKECO,102.44,13504,0
2024-02-12,FAKECO,101.57,12029,0
2024-02-13,FAKECO,101.06,12413,0
2024-02-14,FAKECO,101.51,13353,0
2024-02-15,FAKECO,101.35,13727,0
2024-02-16,FAKECO,101.6,11763,0
2024-02-17,FAKECO,101.53,11581,0
2024-02-18,FAKECO,101.59,9636,0
2024-02-19,FAKECO,104.05,13855,0
2024-02-20,FAKECO,104.39,11474,0
2024-02-21,FAKECO,106.37,9733,0
2024-02-22,FAKECO,106.15,12931,0
2024-02-23,FAKECO,105.46,12389,0
2024-02-24,FAKECO,105.42,10931,0
2024-02-25,FAKECO,105.63,14287,0
2024-02-26,FAKECO,107.57,9147,0
2024-02-27,FAKECO,107.65,10811,0
2024-02-28,FAKECO,108.54,14546,0
2024-02-29,FAKECO,109.14,9734,0
2024-03-01,FAKECO,109.57,10976,0
2024-03-02,FAKECO,107.1,9802,0
2024-03-03,FAKECO,107.31,14616,0
2024-03-04,FAKECO,105.86,8262,0
2024-03-05,FAKECO,105.88,14489,0
2024-03-06,FAKECO,106.25,13423,0
2024-03-07,FAKECO,106.51,12548,0
2024-03-08,FAKECO,107.29,11170,0
2024-03-09,FAKECO,107.91,10255,0
2024-03-10,FAKECO,109.13,13539,0
2024-03-11,FAKECO,107.28,11923,0
2024-03-12,FAKECO,98.45,101357,1
2024-03-13,FAKECO,99.5,11777,0
